neighbor,primary_object,relation_semantics,context_boundary,evidence_provenance,alternative_views,inference_posture,initial_classification,source_status
sts_formography,forms_in_and_of_social_practice,forms_support_erode_or_energize_one_another,ethnographic_practice_context,ethnographic_observation,multiple_relational_practice_forms,interpretive_ethnographic,acknowledge_and_distinguish,verified_institutional_workshop_call
concept_mapping,concepts_and_propositions,labeled_links,usually_task_or_learning_context,varies,hierarchies_and_cross_links,primarily_human_interpretation,adapt,pending_external_review
knowledge_graphs,entities_and_relations,typed_edges_or_properties,implementation_or_domain_scope,varies,multiple_subgraphs_or_views,often_query_or_inference_enabled,adapt,pending_external_review
semantic_networks,concepts_and_semantic_links,association_or_typed_semantic_edges,varies,varies,network_paths,varies,reuse,pending_external_review
ontology_engineering,classes_properties_individuals_axioms,formal_properties_and_constraints,domain_and_version_scope,usually_documented,multiple_modules_or_imports,formal_inference_common,avoid_as_universal_foundation,pending_external_review
topic_maps,topics_associations_occurrences,typed_associations,scope_and_occurrence_context,source_occurrences,multiple_scopes,queryable_association_model,adapt,pending_external_review
conceptual_modeling,entities_relationships_constraints,model_specific,system_or_problem_boundary,requirements_or_design_custody,multiple_models,validation_more_common_than_truth_inference,reuse,pending_external_review
faceted_classification,entities_and_orthogonal_facets,facet_combinations,collection_and retrieval context,classification authority,multiple facet views,little_or_no_inference,reuse,pending_external_review
lexicography_and_thesauri,words_senses_concepts,lexical_and_semantic_relations,language_domain_and_usage,source_and_editorial_custody,sense_and_register views,little_formal_inference,reuse,pending_external_review
systems_modeling,systems_components_interactions,typed_domain_relations,declared_system_boundary,model_and_data provenance,multiple viewpoints,simulation_or_analysis_possible,adapt,pending_external_review
cartography,spatial_features_and_coordinates,spatial_topological_and thematic relations,extent_scale_projection_time,source_and survey custody,multiple projections_and thematic layers,analysis_possible_but_projection_bounded,adapt,pending_external_review
morphology,forms_structures_and transformations,discipline_specific,organism_language_artifact_or material context,domain source custody,multiple scales,varies,reuse,pending_external_review
strategic_formalism,whole_rhythm_hierarchy_and_network,collisions_and_affordances,cultural_historical_context,scholarly_source_custody,multiple_coexisting_forms,interpretive_hermeneutic,acknowledge_and_adapt,verified_publisher_source
formography_proposal,forms_factors_relations_frames_and projections,typed_directed_scoped_and_loss_declared,question_purpose_context_scale_version,required_visible_custody,alternative_factorizations_and projections,no_unstated_inference,candidate,local_contract_only
